Panel,NEMSIS ID,NEMSIS Element Name,Usage/Card,Repeats,Target FHIR Resource,Target Profile,FHIR Path,Datatype Transform,Terminology / ConceptMap,NV handling,PN handling,mPSC Section,Status,Notes
eVitals,eVitals.12,Pulse Oximetry,R [1..1],Yes,Observation,US Core Pulse Oximetry,"Observation LOINC 2708-6/59408-5, %",integer→Quantity,LOINC,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Vital Signs*,Mapped,
eVitals,eVitals.14,Respiratory Rate,R [1..1],Yes,Observation,US Core Respiratory Rate,"Observation LOINC 9279-1, /min",integer→Quantity,LOINC,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Vital Signs*,Mapped,
eVitals,eVitals.16,End Tidal CO2 (ETCO2),R [1..1],Yes,Observation,—,"Observation LOINC 19889-5, mmHg",integer→Quantity,LOINC,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Vital Signs*,Mapped,
eVitals,eVitals.17,Carbon Monoxide (CO),RE [0..1],Yes,Observation,—,Observation (SpCO) valueQuantity %,integer→Quantity,LOINC,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Vital Signs*,Seeded,
eVitals,eVitals.18,Blood Glucose Level,R [1..1],Yes,Observation,US Core Lab/Vital,"Observation LOINC 2339-0, mg/dL",integer→Quantity,LOINC,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Vital Signs*,Mapped,
eVitals,eVitals.19-.23,Glasgow Coma Score (Eye/Verbal/Motor/Qualifier/Total),R/RE,Yes,Observation,—,Observation LOINC 9269-2 (total) + components 9267-6/9270-0/9268-4,integer→Quantity/panel,LOINC GCS panel; helper aggregates total,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Vital Signs*,Mapped,Helper computes/validates total from components
eVitals,eVitals.24-.25,Temperature + Method,RE/O,Yes,Observation,US Core Body Temperature,"Observation LOINC 8310-5, Cel",decimal→Quantity,LOINC; UCUM Cel/[degF],NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Vital Signs*,Mapped,
eVitals,eVitals.26,Level of Responsiveness (AVPU),R [1..1],Yes,Observation,—,Observation valueCodeableConcept,code,AVPU ConceptMap→SNOMED,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Vital Signs*,Mapped,
eVitals,eVitals.27-.28,Pain Scale Score + Type,R/RE,Yes,Observation,—,Observation LOINC 72514-3 + method,integer→Quantity,LOINC; scale-type ConceptMap,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Vital Signs*,Mapped,
eVitals,eVitals.29-.30,Stroke Scale Score + Type,R [1..1],Yes,Observation,—,Observation (stroke scale) + method,code/score,Cincinnati/LAMS/etc. ConceptMap,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Vital Signs*,Mapped,Stroke system-of-care
eVitals,eVitals.31,Reperfusion Checklist,R [1..1],Yes,Observation,—,Observation (STEMI reperfusion),code,ConceptMap,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Vital Signs*,Seeded,
eVitals,eVitals.32,APGAR,O,Yes,Observation,—,Observation LOINC 9272-6 panel,integer,LOINC APGAR,NV(7701xxx)→data-absent-reason,n/a,Vital Signs*,Seeded,Neonatal
eVitals,eVitals.33,Revised Trauma Score,O,Yes,Observation,—,Observation (RTS) valueQuantity,integer,—,NV(7701xxx)→data-absent-reason,n/a,Vital Signs*,Seeded,
eMedications,eMedications.01,Date/Time Medication Administered,R [1..1],Yes(group),MedicationAdministration,US Core MedicationAdministration,MedicationAdministration.effectiveDateTime,dateTime,n/a,NV(7701xxx)→data-absent-reason,n/a,Medication Summary,Mapped,GROUP timestamp
eMedications,eMedications.02,Administered Prior to this Unit's EMS Care,R [1..1],Yes,MedicationAdministration,US Core MedAdmin,MedicationAdministration.performer / Provenance,boolean,—,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Medication Summary,Mapped,Prior-unit provenance kept distinct
eMedications,eMedications.03,Medication Administered,R [1..1],Yes,MedicationAdministration,US Core MedAdmin,MedicationAdministration.medicationCodeableConcept,code,"RxNorm (source-coded, pass-through)",NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Medication Summary,Mapped,PN=not given (contraindicated/refused)→statusReason + status=not-done
eMedications,eMedications.04,Medication Administered Route,R [1..1],Yes,MedicationAdministration,US Core MedAdmin,MedicationAdministration.dosage.route,code,route ConceptMap→SNOMED (9927xxx),NV(7701xxx)→data-absent-reason,n/a,Medication Summary,Mapped,
eMedications,eMedications.05,Medication Dosage,R [1..1],Yes,MedicationAdministration,US Core MedAdmin,MedicationAdministration.dosage.dose.value,decimal→Quantity,with .06 units,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Medication Summary,Mapped,
eMedications,eMedications.06,Medication Dosage Units,R [1..1],Yes,MedicationAdministration,US Core MedAdmin,MedicationAdministration.dosage.dose.unit,code,UCUM ConceptMap,NV(7701xxx)→data-absent-reason,n/a,Medication Summary,Mapped,
eMedications,eMedications.07,Response to Medication,R [1..1],Yes,Observation,—,Observation (response) derivedFrom MedAdmin,code,ConceptMap,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Medication Summary,Mapped,
eMedications,eMedications.08,Medication Complication,R [1..1],Yes,MedicationAdministration,US Core MedAdmin,MedicationAdministration.note / Observation,code,SNOMED,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Medication Summary,Mapped,PN=none
eMedications,eMedications.09,Medication Crew ID,RE [0..1],Yes,MedicationAdministration,—,MedicationAdministration.performer.actor→Practitioner,ref,→dPersonnel/eCrew,NV(7701xxx)→data-absent-reason,n/a,Medication Summary,Mapped,
eMedications,eMedications.10,Role/Type of Person Administering,R [1..1],Yes,MedicationAdministration,—,MedicationAdministration.performer.function,code,ConceptMap,NV(7701xxx)→data-absent-reason,n/a,Medication Summary,Mapped,
eMedications,eMedications.11-.12,Medication Authorization / Authorizing Physician,O,Yes,MedicationAdministration,—,MedicationAdministration.request / performer,code/ref,online/offline medical control,NV(7701xxx)→data-absent-reason,n/a,Medication Summary,Seeded,
eProcedures_eAirway,eProcedures.01,Date/Time Procedure Performed,R [1..1],Yes(group),Procedure,US Core Procedure,Procedure.performedDateTime,dateTime,n/a,NV(7701xxx)→data-absent-reason,n/a,Procedures*,Mapped,GROUP timestamp
eProcedures_eAirway,eProcedures.02,Performed Prior to this Unit's EMS Care,R [1..1],Yes,Procedure,US Core Procedure,Procedure.performer / Provenance,boolean,—,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Procedures*,Mapped,Prior-unit provenance kept distinct
eProcedures_eAirway,eProcedures.03,Procedure,R [1..1],Yes,Procedure,US Core Procedure,Procedure.code,code,"SNOMED (source-coded, pass-through)",NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Procedures*,Mapped,PN=not performed→status=not-done + statusReason
eProcedures_eAirway,eProcedures.04,Size of Procedure Equipment,O,Yes,Procedure/Device,—,Procedure.usedCode / focalDevice,code/Quantity,—,NV(7701xxx)→data-absent-reason,n/a,Procedures*,Seeded,
eProcedures_eAirway,eProcedures.05,Number of Procedure Attempts,R [1..1],Yes,Procedure/Observation,—,Observation (attempts) / Procedure.note,integer,—,NV(7701xxx)→data-absent-reason,n/a,Procedures*,Mapped,
eProcedures_eAirway,eProcedures.06,Procedure Successful,R [1..1],Yes,Procedure,US Core Procedure,Procedure.outcome,code,success ConceptMap,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Procedures*,Mapped,
eProcedures_eAirway,eProcedures.07,Procedure Complication,R [1..*],Yes,Procedure,US Core Procedure,Procedure.complication,code,NEMSIS 3907xxx ConceptMap + dual-code [corrected 2026-08-06: 3.5.0 XSD enumeration; was SNOMED],NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Procedures*,Mapped,PN=none
eProcedures_eAirway,eProcedures.08,Response to Procedure,R [1..1],Yes,Observation,—,Observation (response) derivedFrom Procedure,code,ConceptMap,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Procedures*,Mapped,
eProcedures_eAirway,eProcedures.09,Procedure Crew Members ID,RE [0..1],Yes,Procedure,US Core Procedure,Procedure.performer.actor→Practitioner,ref,→dPersonnel/eCrew,NV(7701xxx)→data-absent-reason,n/a,Procedures*,Mapped,
eProcedures_eAirway,eProcedures.10,Role/Type of Person Performing,R [1..1],Yes,Procedure,—,Procedure.performer.function,code,ConceptMap,NV(7701xxx)→data-absent-reason,n/a,Procedures*,Mapped,
eProcedures_eAirway,eProcedures.11-.12,Procedure Authorization / Authorizing Physician,O,Yes,Procedure,—,Procedure.basedOn / performer,code/ref,medical control,NV(7701xxx)→data-absent-reason,n/a,Procedures*,Seeded,
eProcedures_eAirway,eProcedures.13,Vascular Access Location,RE [0..1],Yes,Procedure,US Core Procedure,Procedure.bodySite,code,SNOMED body structure,NV(7701xxx)→data-absent-reason,n/a,Procedures*,Mapped,
eProcedures_eAirway,eAirway.01,Indications for Invasive Airway,RE [0..*],Yes,Procedure/Observation,—,Procedure.reasonCode,code,SNOMED,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Procedures*,Mapped,
eProcedures_eAirway,eAirway.02-.04,Airway Device Confirmation (time/device/method),RE,Yes,Procedure/Observation,—,Procedure + Observation (confirmation),mixed,SNOMED,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Procedures*,Mapped,Links to eProcedures airway entry
eProcedures_eAirway,eAirway.05,Tube Depth,O,Yes,Observation,—,Observation valueQuantity (cm),decimal→Quantity,UCUM cm,NV(7701xxx)→data-absent-reason,n/a,Procedures*,Seeded,
eProcedures_eAirway,eAirway.06-.11,Confirming person / complications / failed-airway reasons / decision & abandon times,O/RE,Yes,Procedure/Observation,—,Procedure.performer / complication / statusReason; timing,mixed,ConceptMaps,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Procedures*,Seeded,
eExam_eLabs_eDevice,eExam.01,Estimated Body Weight (kg),RE [0..1],No,Observation,US Core Body Weight,"Observation LOINC 29463-7, kg",decimal→Quantity,LOINC/UCUM,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Vital Signs*,Mapped,
eExam_eLabs_eDevice,eExam.02,Length Based Tape Measure,RE [0..1],No,Observation,—,Observation (Broselow) valueCodeableConcept,code,color ConceptMap; helper for peds weight,NV(7701xxx)→data-absent-reason,n/a,Vital Signs*,Mapped,Pediatric length-based dosing
eExam_eLabs_eDevice,eExam.03,Date/Time of Assessment,O,Yes(group),Observation,—,Observation.effectiveDateTime (exam group),dateTime,n/a,NV(7701xxx)→data-absent-reason,n/a,(exam),Mapped,Exam group timestamp
eExam_eLabs_eDevice,eExam.04-.25,Physical exam findings by body region (skin/head/face/neck/heart/abdomen/pelvis/back/extremity/eye/lung/chest/mental/neuro),O [0..*],Yes,Observation,—,Observation.bodySite + valueCodeableConcept; finding-location components,code,SNOMED body-structure + finding ConceptMaps,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,(exam),Seeded,PN-heavy (pertinent negatives are the clinical point); each region a coded finding element
eExam_eLabs_eDevice,eExam.21,Stroke/CVA Symptoms Resolved,RE [0..1],No,Observation,—,Observation valueBoolean,boolean,—,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Problems,Mapped,Stroke pathway
eExam_eLabs_eDevice,eProtocols.01,Protocols Used,R [1..1],Yes,Observation/CarePlan,—,CarePlan.instantiatesUri / Observation,code,local protocol ConceptMap,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Seeded,
eExam_eLabs_eDevice,eProtocols.02,Protocol Age Category,RE [0..1],Yes,Observation,—,Observation component,code,ConceptMap,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Seeded,
eExam_eLabs_eDevice,eLabs.01-.04,Lab result (time/prior/type/result),O,Yes,Observation / DiagnosticReport,US Core Lab Result,Observation (laboratory) + DiagnosticReport,mixed,LOINC,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Results*,Seeded,Rare in field; point-of-care labs
eExam_eLabs_eDevice,eLabs.05-.08,Imaging study (type/result/waveform/file),O,Yes,DiagnosticReport / Media,—,DiagnosticReport + Media/DocumentReference,mixed,LOINC/DICOM,NV(7701xxx)→data-absent-reason,n/a,Results*,Deferred,Waveforms/images as attachments
eExam_eLabs_eDevice,eDevice.01-.12,Medical device data (serial/event/mode/ECG lead/interp/shock/pacing/waveform),O,Yes,Observation / Device / Media,—,Device + Observation cluster; Media for waveform,mixed,—,NV(7701xxx)→data-absent-reason,n/a,Results*,Deferred,Monitor/defib telemetry; CR/attachment
eDisposition,eDisposition.01-.02,Destination Name / Code,RE [0..1],No,Location/Organization,—,Encounter.hospitalization.destination→Location,string/code,facility ConceptMap,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,
eDisposition,eDisposition.03-.10,Destination Address/City/State/County/ZIP/Country/GPS/USNG,O/R,No,Location,—,Location.address / position,address/geo,—,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,
eDisposition,eDisposition.11,Number of Patients Transported in this Unit,RE [0..1],No,Observation,—,Observation valueInteger,integer,—,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Seeded,
eDisposition,eDisposition.13-.15,How Patient Moved to/from Ambulance + Position During Transport,O,Yes,Observation,—,Observation cluster,code,ConceptMap,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Seeded,Src typos: 'deDisposition.15'→eDisposition.15
eDisposition,eDisposition.16,EMS Transport Method,R [1..1],No,Encounter,—,Encounter.type (transport),code,ConceptMap,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,
eDisposition,eDisposition.17-.18,Transport Mode from Scene + Additional Descriptors,R,Yes,Encounter,—,Encounter.priority (transport),code,emergent/non ConceptMap,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,
eDisposition,eDisposition.19,Final Patient Acuity,R [1..1],No,Observation,—,"Observation (acuity, final)",code,acuity ConceptMap,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,
eDisposition,eDisposition.20,Reason for Choosing Destination,R [1..*],Yes,Encounter,—,Encounter.hospitalization.reasonCode / ServiceRequest,code,ConceptMap,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,
eDisposition,eDisposition.21,Type of Destination,R [1..1],No,Location,—,Location.type,code,ConceptMap→v3 RoleCode,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,
eDisposition,eDisposition.22,Hospital In-Patient Destination,R [1..1],No,Encounter,—,Encounter.hospitalization,code,—,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Seeded,
eDisposition,eDisposition.23,Hospital Capability,R [1..*],Yes,Location/Organization,—,Location.type (capability),code,trauma/STEMI/stroke center ConceptMap,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,System-of-care routing
eDisposition,eDisposition.24,Destination Team Pre-Arrival Alert or Activation,R [1..1],No,Communication,—,Communication (prearrival alert),code,—,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,EMS Course*,Mapped,STEMI/stroke/trauma activation
eDisposition,eDisposition.25,Date/Time of Destination Prearrival Alert,R [1..1],No,Communication,—,Communication.sent,dateTime,n/a,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,
eDisposition,eDisposition.26,Disposition Instructions Provided,O [0..*],Yes,Observation/CommunicationRequest,—,Observation / note,code,—,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Seeded,
eDisposition,eDisposition.27,Unit Disposition,M [1..1],No,Encounter,US Core Encounter,Encounter.status / hospitalization,code,3.5 restructured; ConceptMap,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,Core 'what happened' field
eDisposition,eDisposition.28,Patient Evaluation/Care,R [1..1],No,Encounter,—,Encounter.status (evaluated/treated),code,ConceptMap,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,
eDisposition,eDisposition.29,Crew Disposition,R [1..1],No,Encounter,—,Encounter.status supporting,code,ConceptMap,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,
eDisposition,eDisposition.30,Transport Disposition,R [1..1],No,Encounter,US Core Encounter,Encounter.hospitalization.dischargeDisposition,code,transport-disposition ConceptMap,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,Transported/no-transport/refusal
eDisposition,eDisposition.31,Reason for Refusal/Release,O [0..*],Yes,Encounter/Observation,—,Encounter.reasonCode / Observation,code,ConceptMap,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,EMS Course*,Mapped,AMA/refusal
eDisposition,eDisposition.32,Level of Care Provided per Protocol,R [1..1],No,Encounter,—,Encounter.type (LOC),code,ALS/BLS ConceptMap,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,
ePayment,ePayment.01,Primary Method of Payment,R [1..1],No,Coverage,US Core Coverage,Coverage.type,code,payment-type ConceptMap,NV(7701xxx)→data-absent-reason,n/a,Payers,Mapped,Feeds optional Payers section (48768-6)
ePayment,ePayment.02-.07,Physician Certification Statement (PCS) fields,O,No,Contract / DocumentReference,—,Contract (PCS),mixed,—,NV(7701xxx)→data-absent-reason,n/a,Payers,Deferred,Billing detail; CR/attachment
ePayment,ePayment.09-.16,Insurance Company ID/Name/Priority/Address,O,Yes,Coverage/Organization,US Core Coverage,Coverage.payor→Organization,mixed,—,NV(7701xxx)→data-absent-reason,n/a,Payers,Seeded,
ePayment,ePayment.17-.22,Group ID / Policy ID / Insured name / Relationship,O,No,Coverage,US Core Coverage,Coverage.subscriberId; Coverage.relationship,mixed,relationship ConceptMap,NV(7701xxx)→data-absent-reason,n/a,Payers,Seeded,
ePayment,ePayment.23-.39,Closest Relative/Guardian + Employer details,O,No,RelatedPerson,—,RelatedPerson / Patient.contact,mixed,—,NV(7701xxx)→data-absent-reason,n/a,(subject),Deferred,Contact/billing; CR only
ePayment,ePayment.40-.57,CMS service level / condition codes / transport indicators / supply items,O/R,Yes,Coverage/Claim,—,Coverage.class / Claim,mixed,CMS ConceptMaps,NV(7701xxx)→data-absent-reason,n/a,Payers,Deferred,Billing/claims; out of clinical scope
ePayment,ePayment.50,CMS Service Level,R [1..1],No,Coverage/Encounter,—,Encounter.type (CMS LOS),code,CMS ConceptMap,NV(7701xxx)→data-absent-reason,n/a,Payers,Seeded,
ePayment,ePayment.58-.60,Insurance Group Name / Company Phone / Insured DOB,O,No,Coverage,US Core Coverage,Coverage.class; payor.telecom,mixed,—,NV(7701xxx)→data-absent-reason,n/a,Payers,Deferred,Out-of-order in source (mid-panel)
eOutcome,eOutcome.01,Emergency Department Disposition,R [1..1],No,(external) QORE / Observation,QRPH QORE,→ QORE profile,code,N/A in mPSC,NV(7701xxx)→data-absent-reason,n/a,(outcome),Deferred,IG punts to external QORE; future outcome-loop input
eOutcome,eOutcome.02,Hospital Disposition,R [1..1],No,(external) QORE / Observation,QRPH QORE,→ QORE profile,code,N/A,NV(7701xxx)→data-absent-reason,n/a,(outcome),Deferred,Outcome loop (Phase 6)
eOutcome,eOutcome.03-.05,External Report ID/Type + Registry Type,O,No,Observation/DocumentReference,—,Observation.identifier / DocumentReference,string,—,NV(7701xxx)→data-absent-reason,n/a,(outcome),Deferred,
eOutcome,eOutcome.09-.13,ED/Hospital Procedures + Diagnoses,R,Yes,Procedure/Condition,—,Procedure / Condition (hospital),code,SNOMED/ICD-10,NV(7701xxx)→data-absent-reason,n/a,(outcome),Deferred,"Populated post-discharge, not by EMS"
eOutcome,eOutcome.11/.16/.18-.20,Hospital admit/discharge/ED admit + procedure timestamps,R,No,Encounter/Procedure,—,Encounter.period / Procedure.performed,dateTime,n/a,NV(7701xxx)→data-absent-reason,n/a,(outcome),Deferred,Write-back target for outcome loop
eNarrative_eOther,eNarrative.01,Patient Care Report Narrative,RE [0..1],No,Composition / DocumentReference,—,Composition.section.text (EMS narrative) + DocumentReference,string→narrative,n/a,NV(7701xxx)→data-absent-reason,n/a,EMS Narrative*,Mapped,Free-text; proposed dedicated section
eNarrative_eOther,eOther.01-.02,Review Requested / System-of-Care Registry Patient,O,No,Flag / Observation,—,Flag / Observation,code,—,NV(7701xxx)→data-absent-reason,n/a,(header),Seeded,
eNarrative_eOther,eOther.03,Personal Protective Equipment Used,O,No,Observation,—,Observation,code,ConceptMap,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,(header),Seeded,Crew safety
eNarrative_eOther,eOther.04-.08,Crew member IDs / work-related exposure / disaster / report author,O/RE,No,Practitioner / Observation / Provenance,—,Provenance.agent; Observation (exposure),mixed,—,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,(header),Seeded,
eNarrative_eOther,eOther.09-.11,External Electronic Document / File Attachment Type + Image,O,Yes,DocumentReference / Media,—,DocumentReference.content.attachment / Media,base64/url,MIME,NV(7701xxx)→data-absent-reason,n/a,(header),Mapped,"12-lead PDFs, images"
eNarrative_eOther,eOther.12-.21,Signature block (type/reason/representative/status/graphic/name/time),O,Yes,Provenance / DocumentReference,—,Provenance.signature,signature,—,NV(7701xxx)→data-absent-reason,n/a,(header),Seeded,Src typo: 'deOther.21'→eOther.21
eNarrative_eOther,eOther.22,File Attachment Name,O,No,DocumentReference,—,DocumentReference.content.attachment.title,string,n/a,NV(7701xxx)→data-absent-reason,n/a,(header),Mapped,
